Timestamp,Value
1713800883947,59
1713800883947,6
1713800883947,6
1713800883947,0
1713800883947,6
1713800883947,55
1713800883947,42
1713800883947,55
1713800883947,11
1713800883947,6
1713800883947,55
1713800883947,0
1713800883947,6
1713800883947,11
1713800883947,6
1713800883947,6
1713800883947,0
1713800883947,6
1713800883947,41
1713800883947,6
1713800883947,55
1713800883947,0
1713800883947,6
1713800883947,6
1713800883947,42
1713800883947,55
1713800883947,11
1713800883947,42
1713800883947,55
1713800883947,0
1713800883947,55
1713800883947,11
1713800883947,42
1713800883947,55
1713800883947,0
1713800883947,42
1713800883947,41
1713800883947,42
1713800883947,6
1713800883947,0
1713800883947,6
1713800883947,3
1713800883947,42
1713800883947,55
1713800883947,41
1713800883947,6
1713800883948,56
1713800883948,1
1713800883948,4
1713800883948,42
1713800883948,7
1713800883948,4
1713800883948,1
1713800883948,43
1713800883948,7
1713800883948,4
1713800883948,56
1713800883948,1
1713800883948,4
1713800883948,56
1713800883948,4
1713800883948,56
1713800883948,42
1713800883948,43
1713800883948,56
1713800883948,1
1713800883948,56
1713800883948,7
1713800883948,4
1713800883948,56
1713800883948,1
1713800883948,4
1713800883948,42
1713800883948,4
1713800883948,4
1713800883948,1
1713800883948,43
1713800883948,4
1713800883948,43
1713800883948,56
1713800883948,42
1713800883948,4
1713800883948,4
1713800883948,1
1713800883948,56
1713800883948,7
1713800883948,43
1713800883948,56
1713800883948,1
1713800883948,43
1713800883948,7
1713800883948,43
1713800883948,4
1713800883948,1
1713800883948,43
1713800883948,56
1713800883948,43
1713800883948,4
1713800883948,7
1713800883948,4
1713800883948,56
1713800883948,1
1713800883948,56
1713800883948,7
1713800883948,4
1713800883948,4
1713800883948,1
1713800883948,4
1713800883948,42
1713800883948,43
1713800883948,4
1713800883948,1
1713800883948,43
1713800883948,56
1713800883948,43
1713800883948,56
1713800883948,7
1713800883948,43
1713800883948,4
1713800883948,1
1713800883948,4
1713800883948,7
1713800883948,43
1713800883948,4
1713800883948,1
1713800883948,4
1713800883948,7
1713800883948,43
1713800883948,4
1713800883948,1
1713800883948,43
1713800883948,56
1713800883948,43
1713800883948,4
1713800883948,42
1713800883948,4
1713800883948,4
1713800883948,1
1713800883948,4
1713800883948,7
1713800883948,4
1713800883948,56
1713800883948,1
1713800883948,43
1713800883948,7
1713800883948,4
1713800883948,56
1713800883948,1
1713800883948,43
1713800883948,56
1713800883948,4
1713800883948,4
1713800883948,1
1713800883948,4
1713800883948,4
1713800883948,1
1713800883948,56
1713800883948,1
1713800883948,43
1713800883948,4
1713800883948,1
1713800883948,4
1713800883948,1
1713800883948,4
1713800883948,4
1713800883948,1
1713800883948,4
1713800883948,4
1713800883948,43
1713800883948,56
1713800883948,1
1713800883948,43
1713800883948,56
1713800884042,95
1713800884042,98
1713800884042,95
1713800884042,98
1713800884042,98
1713800884042,95
1713800884042,137
1713800884042,95
1713800884042,137
1713800884042,98
1713800884042,95
1713800884042,98
1713800884042,98
1713800884151,246
1713800884151,109
1713800884151,204
1713800884151,207
1713800884151,106
1713800884151,204
1713800884151,106
1713800884163,216
1713800884163,257
1713800884163,0
1713800884163,216
1713800884163,257
1713800884163,216
1713800884163,257
1713800884163,12
1713800884163,216
1713800884163,257
1713800884163,0
1713800884163,257
1713800884163,12
1713800884163,216
1713800884163,219
1713800884163,0
1713800884163,216
1713800884163,0
1713800884163,216
1713800884163,219
1713800884163,0
1713800884163,216
1713800884163,216
1713800884163,216
1713800884163,216
1713800884163,0
1713800884163,216
1713800884163,257
1713800884163,0
1713800884163,216
1713800884163,12
1713800884163,216
1713800884163,257
1713800884163,12
1713800884163,216
1713800884163,7
1713800884163,216
1713800884163,216
1713800884163,0
1713800884163,216
1713800884163,257
1713800884163,216
1713800884163,257
1713800884163,0
1713800884163,216
1713800884163,257
1713800884163,7
1713800884163,216
1713800884163,0
1713800884163,216
1713800884163,216
1713800884163,7
1713800884163,216
1713800884163,7
1713800884163,216
1713800884163,216
1713800884163,0
1713800884163,216
1713800884163,216
1713800884163,216
1713800884163,216
1713800884163,0
1713800884163,216
1713800884163,216
1713800884163,0
1713800884163,216
1713800884163,0
1713800884163,216
1713800884163,216
1713800884163,7
1713800884163,216
